user,time,pattern
3423,M,"(41, 16)"
3423,M,"(31, 23)"
3423,M,"(25, 16)"
3423,M,"(36, 26)"
3423,M,"(33, 25)"
3423,M,"(39, 30)"
3423,M,"(33, 24)"
3423,M,"(35, 24)"
3423,M,"(32, 27)"
3423,M,"(35, 32)"
3423,M,"(27, 25)"
3423,M,"(50, 32)"
3423,M,"(35, 23)"
3423,M,"(24, 14)"
3423,M,"(36, 23)"
3423,M,"(38, 18)"
3423,M,"(40, 14)"
3423,M,"(33, 26)"
3423,M,"(15, 14)"
3423,M,"(54, 41)"
3423,M,"(54, 15)"
3423,M,"(50, 18)"
3423,M,"(38, 19)"
3423,M,"(40, 31)"
3423,M,"(34, 22)"
3423,M,"(2, 23)"
3423,M,"(64, 9)"
3423,M,"(32, 24)"
3423,M,"(2, 6)"
3423,M,"(38, 28)"
3423,M,"(38, 22)"
3423,M,"(36, 25)"
3423,M,"(38, 2)"
3423,M,"(19, 28)"
3423,A,"(35, 22)"
3423,A,"(33, 23)"
3423,A,"(29, 23)"
3423,A,"(36, 24)"
3423,A,"(55, 32)"
3423,A,"(57, 13)"
3423,A,"(35, 10)"
3423,A,"(45, 34)"
3423,A,"(38, 23)"
3423,A,"(10, 14)"
3423,A,"(34, 23)"
3423,A,"(29, 28)"
3423,A,"(33, 31)"
3423,A,"(34, 24)"
3423,A,"(50, 13)"
3423,A,"(23, 53)"
3423,A,"(40, 23)"
3423,A,"(65, 16)"
3423,A,"(47, 17)"
3423,A,"(8, 61)"
3423,A,"(38, 24)"
3423,A,"(35, 23)"
3423,A,"(32, 20)"
3423,A,"(35, 24)"
3423,A,"(37, 25)"
3423,A,"(60, 33)"
3423,A,"(50, 36)"
3423,E,"(27, 28)"
3423,E,"(39, 29)"
3423,E,"(36, 24)"
3423,E,"(34, 23)"
3423,E,"(36, 24)"
3423,E,"(36, 23)"
3423,E,"(22, 26)"
3423,E,"(28, 24)"
3423,E,"(34, 27)"
3423,E,"(37, 45)"
3423,E,"(59, 31)"
1750,M,"(66, 6)"
1750,M,"(65, 7)"
1750,M,"(30, 20)"
1750,M,"(60, 19)"
1750,M,"(65, 8)"
1750,M,"(66, 9)"
1750,M,"(64, 10)"
1750,M,"(66, 8)"
1750,M,"(66, 0)"
1750,M,"(65, 10)"
1750,A,"(64, 6)"
1750,A,"(65, 10)"
1750,A,"(32, 11)"
1750,A,"(44, 37)"
1750,A,"(5, 9)"
1750,A,"(63, 12)"
1750,A,"(53, 34)"
1750,A,"(65, 30)"
1750,A,"(52, 33)"
1750,A,"(49, 10)"
1750,A,"(52, 9)"
1750,A,"(66, 10)"
1750,A,"(4, 4)"
1750,A,"(64, 15)"
1750,A,"(65, 8)"
1750,A,"(54, 9)"
1750,A,"(66, 7)"
1750,A,"(64, 6)"
1750,A,"(62, 16)"
1750,A,"(63, 9)"
1750,A,"(41, 8)"
1750,A,"(37, 31)"
1750,A,"(38, 36)"
1750,A,"(34, 3)"
1750,E,"(35, 45)"
1750,E,"(65, 16)"
1750,E,"(60, 39)"
1750,E,"(64, 10)"
1750,E,"(45, 35)"
1750,E,"(51, 32)"
1750,E,"(63, 7)"
1750,E,"(64, 13)"
1750,E,"(60, 12)"
1750,E,"(65, 10)"
1750,E,"(64, 6)"
1750,E,"(65, 11)"
1750,E,"(47, 22)"
1750,E,"(49, 2)"
1750,E,"(61, 6)"
1750,E,"(64, 9)"
1750,E,"(62, 28)"
1750,E,"(37, 28)"
3547,M,"(40, 49)"
3547,M,"(58, 21)"
3547,M,"(61, 36)"
3547,M,"(60, 23)"
3547,M,"(65, 27)"
3547,M,"(28, 10)"
3547,M,"(56, 19)"
3547,A,"(25, 23)"
3547,A,"(37, 12)"
3547,A,"(52, 17)"
3547,A,"(62, 16)"
3547,A,"(62, 15)"
3547,E,"(57, 13)"
3547,E,"(61, 15)"
3547,E,"(39, 0)"
3547,E,"(57, 19)"
3547,E,"(64, 24)"
3547,E,"(61, 15)"
1280,M,"(10, 9)"
1280,M,"(11, 6)"
1280,M,"(7, 7)"
1280,M,"(4, 6)"
1280,M,"(5, 11)"
1280,M,"(8, 10)"
1280,M,"(0, 56)"
1280,M,"(47, 18)"
1280,M,"(12, 41)"
1280,M,"(13, 21)"
1280,M,"(16, 5)"
1280,M,"(13, 26)"
1280,M,"(12, 33)"
1280,M,"(7, 3)"
1280,M,"(12, 33)"
1280,M,"(7, 4)"
1280,M,"(3, 7)"
1280,M,"(6, 10)"
1280,M,"(7, 4)"
1280,M,"(7, 4)"
1280,M,"(7, 7)"
1280,M,"(9, 0)"
1280,M,"(8, 5)"
1280,M,"(11, 9)"
1280,M,"(4, 12)"
1280,M,"(8, 8)"
1280,M,"(7, 9)"
1280,M,"(9, 5)"
1280,M,"(51, 4)"
1280,M,"(6, 6)"
1280,M,"(7, 5)"
1280,M,"(11, 9)"
1280,M,"(10, 10)"
1280,M,"(12, 9)"
1280,M,"(13, 1)"
1280,M,"(15, 1)"
1280,M,"(6, 14)"
1280,M,"(22, 13)"
1280,M,"(11, 15)"
1280,M,"(20, 9)"
1280,M,"(6, 29)"
1280,M,"(11, 32)"
1280,M,"(33, 10)"
1280,M,"(5, 6)"
1280,M,"(5, 5)"
1280,A,"(9, 15)"
1280,A,"(10, 10)"
1280,A,"(11, 8)"
1280,A,"(45, 16)"
1280,A,"(2, 59)"
1280,A,"(43, 6)"
1280,A,"(1, 20)"
1280,A,"(20, 18)"
1280,A,"(5, 6)"
1280,A,"(6, 7)"
1280,A,"(49, 10)"
1280,A,"(8, 8)"
1280,A,"(8, 7)"
1280,A,"(12, 6)"
1280,A,"(7, 5)"
1280,A,"(8, 18)"
1280,A,"(50, 10)"
1280,A,"(9, 6)"
1280,A,"(23, 5)"
1280,A,"(6, 6)"
1280,A,"(26, 10)"
1280,A,"(7, 7)"
1280,A,"(15, 33)"
1280,A,"(5, 4)"
1280,A,"(2, 22)"
1280,A,"(6, 10)"
1280,A,"(6, 8)"
1280,A,"(14, 9)"
1280,A,"(26, 6)"
1280,A,"(8, 7)"
1280,A,"(6, 6)"
1280,A,"(19, 3)"
1280,A,"(7, 8)"
1280,A,"(26, 8)"
1280,A,"(43, 13)"
1280,A,"(10, 14)"
1280,A,"(12, 15)"
1280,A,"(13, 13)"
1280,A,"(4, 7)"
1280,A,"(46, 12)"
1280,A,"(8, 2)"
1280,A,"(0, 34)"
1280,A,"(15, 15)"
1280,A,"(39, 2)"
1280,E,"(22, 3)"
1280,E,"(18, 1)"
1280,E,"(6, 10)"
1280,E,"(6, 6)"
1280,E,"(5, 7)"
1280,E,"(11, 4)"
1280,E,"(14, 0)"
1280,E,"(10, 0)"
1280,E,"(8, 7)"
198,M,"(15, 15)"
198,M,"(8, 25)"
198,M,"(14, 14)"
198,M,"(15, 16)"
198,M,"(19, 16)"
198,M,"(15, 18)"
198,M,"(11, 17)"
198,M,"(11, 19)"
198,M,"(16, 16)"
198,M,"(3, 37)"
198,M,"(22, 30)"
198,M,"(15, 16)"
198,M,"(25, 3)"
198,M,"(17, 31)"
198,M,"(23, 16)"
198,M,"(15, 16)"
198,M,"(19, 17)"
198,M,"(24, 26)"
198,M,"(16, 15)"
198,M,"(23, 11)"
198,M,"(15, 14)"
198,M,"(18, 6)"
198,M,"(16, 16)"
198,M,"(13, 20)"
198,M,"(15, 26)"
198,M,"(12, 7)"
198,M,"(25, 9)"
198,A,"(13, 16)"
198,A,"(3, 22)"
198,A,"(14, 18)"
198,A,"(21, 10)"
198,A,"(15, 4)"
198,A,"(14, 7)"
198,A,"(14, 10)"
198,A,"(10, 39)"
198,A,"(12, 18)"
198,A,"(26, 29)"
198,A,"(16, 15)"
198,A,"(18, 14)"
198,A,"(12, 23)"
198,E,"(44, 4)"
198,E,"(14, 7)"
198,E,"(32, 4)"
198,E,"(2, 4)"
198,E,"(14, 16)"
198,E,"(26, 18)"
2447,M,"(32, 14)"
2447,M,"(30, 7)"
2447,M,"(23, 8)"
2447,M,"(28, 4)"
2447,M,"(27, 5)"
2447,M,"(27, 4)"
2447,M,"(30, 5)"
2447,M,"(32, 9)"
2447,M,"(32, 12)"
2447,M,"(29, 4)"
2447,M,"(25, 6)"
2447,M,"(59, 18)"
2447,M,"(25, 3)"
2447,M,"(19, 24)"
2447,M,"(3, 55)"
2447,M,"(22, 7)"
2447,M,"(27, 3)"
2447,M,"(23, 5)"
2447,A,"(46, 10)"
2447,A,"(50, 12)"
2447,A,"(21, 3)"
2447,E,"(28, 5)"
2447,E,"(1, 1)"
